fr_fr,en_gb,ifcproduct,ifctypeproduct,allplan,archicad,revit,domaine_architecture,domaine_structure,domaine_fluides
,Wash Hand Basin,IfcFlowTerminal,IfcSanitaryTerminalType WASHHANDBASIN,,,,,,YES
,Washing Machine,IfcFlowTerminal,IfcElectricApplianceType WASHINGMACHINE,,,,,,YES
,Waste Disposal Unit,IfcFlowTerminal,IfcWasteTerminalType WASTEDISPOSALUNIT,,,,,,YES
,IfcFlowTerminal,IfcFlowTerminal,IfcWasteTerminalType *,,,,,,YES
,Waste Trap,IfcFlowTerminal,IfcWasteTerminalType WASTETRAP,,,,,,YES
,Water Cooler,IfcFlowTerminal,IfcElectricApplianceType WATERCOOLER,,,,,,YES
,Water Heater,IfcFlowTerminal,IfcElectricApplianceType WATERHEATER,,,,,,YES
,WC Seat,IfcFlowTerminal,IfcSanitaryTerminalType WCSEAT,,,,,,YES
,Bath,IfcFlowTerminal,IfcSanitaryTerminalType BATH,,,,,,YES
,Cistern,IfcFlowTerminal,IfcSanitaryTerminalType CISTERN,,,,,,YES
,Computer,IfcFlowTerminal,IfcElectricApplianceType COMPUTER,,,,,,YES
,Freestanding Fan,IfcFlowTerminal,IfcElectricApplianceType FREESTANDINGFAN,,,,,,YES
,Fridge Freezer,IfcFlowTerminal,IfcElectricApplianceType FRIDGE_FREEZER,,,,,,YES
,Gas Appliance,IfcFlowTerminal,IfcGasTerminalType GASAPPLIANCE,,,,,,YES
,Gas Booster,IfcFlowTerminal,IfcGasTerminalType GASBOOSTER,,,,,,YES
,Gas Burner,IfcFlowTerminal,IfcGasTerminalType GASBURNER,,,,,,YES
,Gas Terminal,IfcFlowTerminal,IfcGasTerminalType *,,,,,,YES
,Grease Interceptor,IfcFlowTerminal,IfcWasteTerminalType GREASEINTERCEPTOR,,,,,,YES
,Gully Sump,IfcFlowTerminal,IfcWasteTerminalType GULLYSUMP,,,,,,YES
,Gully Trap,IfcFlowTerminal,IfcWasteTerminalType GULLYTRAP,,,,,,YES
,Hand Dryer,IfcFlowTerminal,IfcElectricApplianceType HANDDRYER,,,,,,YES
,Indirect Water Heater,IfcFlowTerminal,IfcElectricApplianceType INDIRECTWATERHEATER,,,,,,YES
,Microwave,IfcFlowTerminal,IfcElectricApplianceType MICROWAVE,,,,,,YES
,Oil Interceptor,IfcFlowTerminal,IfcWasteTerminalType OILINTERCEPTOR,,,,,,YES
,Petrol Interceptor,IfcFlowTerminal,IfcWasteTerminalType PETROLINTERCEPTOR,,,,,,YES
,Photocopier,IfcFlowTerminal,IfcElectricApplianceType PHOTOCOPIER,,,,,,YES
,Printer,IfcFlowTerminal,IfcElectricApplianceType PRINTER,,,,,,YES
,Radiant Heater,IfcFlowTerminal,IfcElectricApplianceType RADIANTHEATER,,,,,,YES
,Refrigerator,IfcFlowTerminal,IfcElectricApplianceType REFRIGERATOR,,,,,,YES
,Roof Drain,IfcFlowTerminal,IfcWasteTerminalType ROOFDRAIN,,,,,,YES
